ID,sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
138,,PROD,,Y0NMM_0109,,1,Jan,27,,0.0135
139,,PROD,,Y0NMM_0110,,1,Jan,5705,,2.8525
140,,PROD,,Y0NMM_0111,,1,Jan,1,,0.0005
141,,PROD,,Y0NMM_0114,,1,Jan,4,,0.002
142,,PROD,,Y0NMM_0213,,1,Jan,2,,0.001
143,,PROD,,Y0NMM_0215,,1,Jan,56523,,28.2615
144,,PROD,,Y0NMM_0218,,1,Jan,1,,0.0005
145,,PROD,,Y0NMM_0219,,1,Jan,11,,0.0055
146,,PROD,,Y0NMM_0224,,1,Jan,74,,0.037
147,,PROD,,Y0NMM_0228,,1,Jan,82,,0.041
148,,PROD,,Y0NMM_0233,,1,Jan,238,,0.119
149,,PROD,,Y0NMM_0234,,1,Jan,26,,0.013
150,,PROD,,Y0NMM_0237,,1,Jan,2,,0.001
151,,PROD,,Y0NMM_0238,,1,Jan,3,,0.0015
152,,PROD,,Y0NMM_0242,,1,Jan,2,,0.001
153,,PROD,,Y0NMM_0246,,1,Jan,51,,0.0255
154,,PROD,,Y0NMM_0264,,1,Jan,11,,0.0055
155,,PROD,,Y0NMM_0266,,1,Jan,4,,0.002
156,,PROD,,Y0NMM_0267,,1,Jan,9,,0.0045
157,,PROD,,Y0NMM_0270,,1,Jan,1,,0.0005
158,,PROD,,Y0NMM_T0103,,1,Jan,15,,0.0075
159,,PROD,,Y0NMM_ZAB0002,,2,Jan,38,,0.019
160,,PROD,,Y0NMM_ZAC0006=================CP,,1,Jan,37,,0.0185
161,,PROD,,Y0NMM_ZAE0001,,33,Jan,129,,0.0645
162,,PROD,,Y0NMM_ZAE0003,,1,Jan,5,,0.0025
163,,PROD,,Y0NMM_ZAN0001,,10,Jan,25,,0.0125
164,,PROD,,Y0NMM_ZAN0008,,4,Jan,3,,0.0015
