sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
,PROD,,Y0NPR_0003,,1,Jan,2,,
,PROD,,Y0NPR_0013,,1,Jan,307,,
,PROD,,Y0NPR_0014,,1,Jan,43,,
,PROD,,Y0NSD_0012,,1,Jan,28958,,
,PROD,,Y0NSD_0013,,1,Jan,1,,
,PROD,,Y0NSD_0014,,1,Jan,2,,
,PROD,,Y0NSD_0016,,1,Jan,13128,,
,PROD,,Y0NSD_0017,,1,Jan,4965,,
,PROD,,Y0NSD_0019,,1,Jan,6,,
,PROD,,Y0NSD_0029,,1,Jan,6989,,
,PROD,,Y0NSD_0030,,1,Jan,31,,
,PROD,,Y0NSD_0031,,1,Jan,1,,
,PROD,,Y0NSD_0032,,1,Jan,9,,
,PROD,,Y0NSD_0040,,1,Jan,655,,
,PROD,,Y0NSD_0041,,1,Jan,296939,,
,PROD,,Y0NSD_0043,,1,Jan,21,,
,PROD,,Y0NSD_0047,,1,Jan,4694,,
,PROD,,Y0NSD_0051,,1,Jan,19629,,
,PROD,,Y0NSD_0055,,1,Jan,214,,
,PROD,,Y0NSD_0056,,1,Jan,3,,
,PROD,,Y0NSD_0060,,1,Jan,106,,
,PROD,,Y0NSD_0063,,1,Jan,102,,
,PROD,,Y0NSD_0065,,1,Jan,6797,,
,PROD,,Y0NSD_0066,,1,Jan,48,,
,PROD,,Y0NSD_0069,,1,Jan,4,,
,PROD,,Y0NSD_0071,,1,Jan,1,,
,PROD,,Y0NSD_0072,,1,Jan,8750,,
,PROD,,Y0NSD_0077,,1,Jan,15572,,
,PROD,,Y0NSD_0079,,1,Jan,3,,
,PROD,,Y0NSD_0080,,1,Jan,24,,
,PROD,,Y0NSD_0081,,1,Jan,87,,
,PROD,,Y0NSD_0085,,1,Jan,3,,
,PROD,,Y0NSD_0086,,1,Jan,156,,
,PROD,,Y0NSD_0102,,1,Jan,12,,
,PROD,,Y0NSD_0120,,1,Jan,15,,
,PROD,,Y0NSD_0203,,1,Jan,103340,,
,PROD,,Y0NSD_0216,,1,Jan,631,,
,PROD,,Y0NSD_0220,,1,Jan,6,,
,PROD,,Y0NSD_0223,,1,Jan,614,,
,PROD,,Y0NSD_0229,,1,Jan,302,,
,PROD,,Y0NSD_0233,,1,Jan,3702,,
,PROD,,Y0NSD_0234,,1,Jan,258,,
,PROD,,Y0NSD_0235,,1,Jan,17,,
,PROD,,Y0NSD_0236,,1,Jan,12,,
,PROD,,Y0NSD_0240,,1,Jan,5,,
,PROD,,Y0NSD_SD70AV1A,,1,Jan,1002,,
,PROD,,Y0NSD_ZAB0001,,4,Jan,2332,,
,PROD,,Y0NSD_ZAB0007,,7,Jan,34,,
,PROD,,Y0NSD_ZAB0008,,1,Jan,99,,
,PROD,,Y0NSD_ZAB0201,,2,Jan,899,,
,PROD,,Y0NSD_ZAB0202,,4,Jan,729998,,
,PROD,,Y0NSD_ZAB0205,,1,Jan,267,,
,PROD,,Y0NSD_ZAB0206,,1,Jan,133,,
,PROD,,Y0NSD_ZAB0207,,1,Jan,81,,
,PROD,,Y0NSD_ZAD0036,,1,Jan,43,,
,PROD,,Y0NSD_ZAO0001,,11,Jan,7560,,
,PROD,,Y0NSD_ZAO0002,,5,Jan,2,,
,PROD,,Y0NSD_ZAO0005,,6,Jan,31133,,
,PROD,,Y0NSD_ZAO0009,,44,Jan,30361,,
,PROD,,Y0NSD_ZAO0011,,7,Jan,54623,,
,PROD,,Y0NSD_ZAO0012,,1,Jan,38,,
,PROD,,Y0NSD_ZAO0020,,7,Jan,828,,
,PROD,,Y0NSD_ZAO0021,,24,Jan,4092,,
,PROD,,Y0NSD_ZAO0024,,9,Jan,1672,,
,PROD,,Y0NSD_ZAO0035,,5,Jan,5481,,
,PROD,,Y0NSD_ZAO0203,,2,Jan,52,,
,PROD,,Y0NSD_ZAR0002,,6,Jan,23,,
,PROD,,Y0NSD_ZAR0003,,7,Jan,42,,
,PROD,,Y0NSD_ZAR0004,,12,Jan,36989,,
,PROD,,Y0NSD_ZAR0013,,15,Jan,24765,,
,PROD,,Y0NSD_ZAR0023,,5,Jan,7840,,
,PROD,,Y0NSD_ZAR0120,,13,Jan,22452,,
,PROD,,Y0NSD_ZAR0124,,1,Jan,1,,
,PROD,,Y0NSD_ZAR0203,,1,Jan,3996,,
,PROD,,Y0NSD_ZAR0204_1,,2,Jan,79598,,
,PROD,,Y0NSD_ZAR0205,,1,Jan,21,,
,PROD,,Y0NSD_ZAR0234,,1,Jan,287,,
,PROD,,Y0NSD_ZAS0002,,16,Jan,24405,,
,PROD,,Y0NSD_ZAS0003,,9,Jan,17465,,
,PROD,,Y0NVX_0000,,1,Jan,329,,
,PROD,,Y0NVX_0006,,1,Jan,1414,,
,PROD,,Y0NVX_0018,,1,Jan,120315,,
,PROD,,Y0NVX_0020,,1,Jan,13261,,
,PROD,,Y0NVX_0026,,1,Jan,2412,,
,PROD,,Y0NVX_0028,,1,Jan,768,,
,PROD,,Y0NVX_0029,,1,Jan,96,,
,PROD,,Y0NVX_0045,,1,Jan,78,,
,PROD,,Y0NVX_0064,,1,Jan,1079,,
,PROD,,Y0NVX_0068,,1,Jan,1450,,
,PROD,,Y0NVX_0069,,1,Jan,72427,,
,PROD,,Y0NVX_0077,,1,Jan,10,,
,PROD,,Y0NVX_0078,,1,Jan,2,,
,PROD,,Y0NVX_0081,,1,Jan,1235,,
,PROD,,Y0NVX_0084,,1,Jan,857,,
,PROD,,Y0NVX_0090,,1,Jan,2548,,
,PROD,,Y0NVX_0091,,1,Jan,48,,
,PROD,,Y0NVX_0093,,1,Jan,51,,
,PROD,,Y0NVX_0096,,1,Jan,58,,
,PROD,,Y0NVX_0099,,1,Jan,13814,,
,PROD,,Y0NVX_0110,,1,Jan,70,,
,PROD,,Y0NVX_IPPCR_CREATE,,2,Jan,9312,,
,PROD,,Y0NVX_IPPCR_CREATE_PARALLEL,,1,Jan,40,,
,PROD,,Y0NVX_KUL_STATUS,,1,Jan,6,,
,PROD,,Y0NVX_LIL_STATUS,,1,Jan,5,,
,PROD,,Y0NVX_PDL_STATUS,,1,Jan,39,,
,PROD,,Y0NVX_ZAR0016,,1,Jan,1530,,
,PROD,,Y0NVX_ZAR0017,,1,Jan,901,,
,PROD,,Y0NVX_ZAR0049,,1,Jan,4,,
,PROD,,Y0NVX_ZAR0071,,53,Jan,2028,,
,PROD,,Y0NVX_ZAR0072,,1,Jan,131,,
,PROD,,Y0NVX_ZAR0073,,1,Jan,15,,
,PROD,,Y0NVX_ZAR0076,,3,Jan,324,,
,PROD,,Y0NVX_ZAR0081,,1,Jan,6156,,
,PROD,,Y0NVX_ZAR0090,,2,Jan,9,,
,PROD,,Y0NVX_ZAR0093,,2,Jan,4138,,
,PROD,,Y0NVX_ZAR0103,,1,Jan,4108,,
,PROD,,Y0NVX_ZAR0135,,1,Jan,124,,
,PROD,,Y0NVX_ZAR0137,,2,Jan,210,,
,PROD,,Y0NWM_0002,,1,Jan,2346,,
,PROD,,Y0NWM_0002/99/MOBILE.css,,2,Jan,2,,
,PROD,,Y0NWM_0003,,1,Jan,7764,,
,PROD,,Y0NWM_0005,,1,Jan,11,,
,PROD,,Y0NWM_0007,,1,Jan,87,,
,PROD,,Y0NWM_0009,,1,Jan,242,,
,PROD,,Y0NWM_0010,,1,Jan,2230,,
,PROD,,Y0NWM_0011,,1,Jan,8403,,
